BOP,Bird Love Score [<3]
118,42.839999999998355
188,54.84791666666597
196,45.800566037737056
220,45.800566037737056
242,44.522142857144
282,53.5673529411769
300,48.4922641509425
307,61.82000000000186
320,60.50962962962915
340,42.839999999998355
352,56.419500000002174
376,35.38244444444511
417,42.839999999998355
447,30.438181818181267
452,49.0854545454547
494,52.59480000000046
636,45.800566037737056
671,56.419500000002174
682,42.839999999998355
685,60.50962962962915
697,41.14666666666733
698,39.42235294117576
782,45.800566037737056
810,51.64428571428433
818,37.550600000000614
849,60.50962962962915
968,48.4922641509425
1019,58.08599999999986
1035,34.39216216216286
1047,41.14666666666733
1078,48.4922641509425
1101,56.419500000002174
1139,53.23033333333429
1143,61.82000000000186
1146,44.522142857144
1212,49.40243902438831
1248,60.50962962962915
1265,52.54904761904654
1274,32.72545454545556
1288,56.419500000002174
1350,45.800566037737056
1354,59.73399999999805
1362,45.800566037737056
1383,53.5673529411769
1397,42.839999999998355
1435,48.4922641509425
1447,51.64428571428433
1464,34.39216216216286
1477,53.23033333333429
1482,60.50962962962915
1535,54.84791666666597
1539,30.438181818181267
1556,60.50962962962915
1563,45.800566037737056
1576,39.42235294117576
1577,30.438181818181267
1587,42.839999999998355
1661,62.28692307692422
1713,51.64428571428433
1803,51.64428571428433
1804,39.42235294117576
1838,45.800566037737056
1847,42.839999999998355
1850,45.800566037737056
1907,35.38244444444511
1948,37.550600000000614
1972,45.800566037737056
1976,53.23033333333429
1988,30.438181818181267
1994,45.800566037737056
2022,37.550600000000614
2028,53.5673529411769
2035,59.363157894737824
2074,51.64428571428433
2076,41.14666666666733
2088,30.438181818181267
2139,44.522142857144
2199,37.550600000000614
2212,48.4922641509425
2242,59.724210526314344
2266,45.800566037737056
2272,45.800566037737056
2273,59.724210526314344
2301,35.38244444444511
2302,53.23033333333429
2320,62.29045454545247
2325,35.38244444444511
2352,41.14666666666733
2393,39.42235294117576
2398,45.800566037737056
2403,35.38244444444511
2407,59.73399999999805
2413,59.724210526314344
2420,53.23033333333429
2425,59.724210526314344
2441,35.38244444444511
2448,32.72545454545556
2450,34.39216216216286
2477,59.724210526314344
2494,48.4922641509425
