BOP,Bird Love Score [<3]
2,67.91153846153964
3,24.374545454545483
19,71.16999999999854
22,74.84200000000095
24,79.21333333333315
26,62.002999999998195
45,26.828857142856723
66,64.84799999999906
72,74.84200000000095
87,34.30249999999971
93,16.041071428571676
108,34.30249999999971
113,72.97615384615641
115,10.260000000000188
141,44.25666666666765
151,50.09142857142917
165,12.840000000000126
173,67.91153846153964
182,74.84200000000095
183,42.65136363636518
189,38.798750000001235
222,29.38256410256364
235,83.22166666666526
239,72.41999999999854
289,48.82809523809477
293,64.84799999999906
316,61.86636363636354
317,72.41999999999854
329,17.351851851851457
342,12.840000000000126
343,35.83000000000119
348,88.9719999999979
354,41.12249999999921
369,10.260000000000188
381,91.18499999999837
393,24.374545454545483
402,19.008260869565614
411,26.828857142856723
427,17.351851851851457
468,55.496363636363725
476,37.63304347825969
495,67.91153846153964
496,41.12249999999921
502,19.008260869565614
518,45.737142857142736
569,26.828857142856723
570,32.54624999999954
598,38.798750000001235
606,42.65136363636518
632,19.008260869565614
637,83.22166666666526
664,44.25666666666765
667,13.362142857142603
680,45.737142857142736
700,24.374545454545483
704,30.23851851851925
728,48.82809523809477
736,86.21166666666889
738,44.25666666666765
748,37.63304347825969
752,62.002999999998195
765,34.30249999999971
767,88.9719999999979
772,76.65833333333603
797,21.490416666667223
803,26.115000000000258
820,55.496363636363725
821,48.82809523809477
823,13.362142857142603
828,38.798750000001235
835,19.008260869565614
843,34.30249999999971
871,66.77833333333456
873,19.008260869565614
876,9.536666666666829
881,44.25666666666765
891,58.1288888888903
894,78.69666666666733
899,86.32000000000332
902,26.828857142856723
912,45.737142857142736
930,26.115000000000258
934,84.13083333333195
938,55.67583333333274
942,32.54624999999954
955,44.25666666666765
960,38.798750000001235
965,10.260000000000188
981,55.496363636363725
1023,45.737142857142736
1040,16.041071428571676
1055,42.65136363636518
1067,45.737142857142736
1104,41.12249999999921
1137,20.95153846153788
1198,26.115000000000258
1222,61.86636363636354
1232,21.490416666667223
1235,37.63304347825969
1253,41.12249999999921
1261,34.30249999999971
1263,19.008260869565614
1272,24.374545454545483
1295,74.84200000000095
1296,42.65136363636518
1297,67.91153846153964
1319,10.260000000000188
1322,24.374545454545483
1328,20.95153846153788
1379,32.54624999999954
1423,37.63304347825969
1453,20.95153846153788
1461,10.260000000000188
1485,38.798750000001235
1491,37.63304347825969
1541,44.25666666666765
1545,44.25666666666765
1548,44.25666666666765
1606,13.362142857142603
1613,34.30249999999971
1614,16.041071428571676
1617,42.65136363636518
1627,83.22166666666526
1642,32.54624999999954
1651,72.97615384615641
1668,38.798750000001235
1687,38.798750000001235
1711,20.95153846153788
1730,35.83000000000119
1738,20.95153846153788
1745,16.041071428571676
1752,35.83000000000119
1754,21.490416666667223
1755,29.38256410256364
1763,48.82809523809477
1770,19.008260869565614
1788,24.374545454545483
1791,48.82809523809477
1799,61.86636363636354
1824,45.737142857142736
1855,48.82809523809477
1856,67.91153846153964
1864,35.83000000000119
1898,26.828857142856723
1901,20.95153846153788
1920,20.95153846153788
1924,20.95153846153788
1927,9.536666666666829
1951,10.260000000000188
1952,38.798750000001235
1961,52.29909090908917
1978,61.86636363636354
2024,48.82809523809477
2039,26.828857142856723
2057,76.65833333333603
2066,45.737142857142736
2071,55.496363636363725
2072,5.100000000000135
2078,12.840000000000126
2136,20.95153846153788
2145,41.12249999999921
2149,30.23851851851925
2154,42.65136363636518
2161,45.737142857142736
2164,29.38256410256364
2165,26.828857142856723
2175,12.840000000000126
2182,35.83000000000119
2185,29.38256410256364
2222,13.362142857142603
2232,26.115000000000258
2256,66.77833333333456
2267,83.22166666666526
2283,32.54624999999954
2285,21.490416666667223
2292,41.12249999999921
2308,45.737142857142736
2309,45.737142857142736
2333,26.828857142856723
2341,84.13083333333195
2346,48.82809523809477
2356,44.25666666666765
2360,37.63304347825969
2364,16.041071428571676
2382,17.351851851851457
2389,34.30249999999971
2391,37.63304347825969
2408,58.1288888888903
2414,26.115000000000258
2428,67.91153846153964
2439,44.25666666666765
2446,26.828857142856723
2464,10.260000000000188
2469,26.828857142856723
2470,42.65136363636518
2473,45.737142857142736
2479,55.496363636363725
2480,26.828857142856723
2490,41.12249999999921
2498,67.91153846153964
